direction,database,pathway,nominal_sig,FDR_sig,classification
A_higher,GO_BP,mucosa-associated lymphoid tissue development,TRUE,TRUE,Concordant
A_higher,GO_BP,muscle cell differentiation,TRUE,TRUE,Concordant
A_higher,GO_BP,muscle contraction,TRUE,TRUE,Concordant
A_higher,GO_BP,muscle system process,TRUE,TRUE,Concordant
A_higher,GO_BP,negative regulation of blood pressure,TRUE,TRUE,Concordant
A_higher,GO_BP,negative regulation of insulin secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,negative regulation of peptide hormone secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,negative regulation of peptide secretion,FALSE,TRUE,FDR-only
A_higher,GO_BP,nephron development,TRUE,TRUE,Concordant
A_higher,GO_BP,peptide hormone secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,peptide secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,peptide transport,TRUE,TRUE,Concordant
A_higher,GO_BP,positive regulation of lipid metabolic process,TRUE,TRUE,Concordant
A_higher,GO_BP,potassium ion homeostasis,TRUE,TRUE,Concordant
A_higher,GO_BP,potassium ion import across plasma membrane,TRUE,TRUE,Concordant
A_higher,GO_BP,potassium ion transmembrane transport,TRUE,TRUE,Concordant
A_higher,GO_BP,potassium ion transport,TRUE,TRUE,Concordant
A_higher,GO_BP,protein O-linked glycosylation via xylose,TRUE,TRUE,Concordant
A_higher,GO_BP,protein localization to extracellular region,TRUE,TRUE,Concordant
A_higher,GO_BP,proteinogenic amino acid metabolic process,TRUE,TRUE,Concordant
A_higher,GO_BP,proteoglycan biosynthetic process,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of blood circulation,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of blood pressure,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of dopaminergic neuron differentiation,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of heart contraction,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of hormone secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of membrane potential,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of monoatomic ion transmembrane transport,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of nervous system development,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of neuron projection development,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of peptide hormone secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of peptide secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of peptide transport,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of protein secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of synapse assembly,FALSE,TRUE,FDR-only
A_higher,GO_BP,regulation of synapse organization,TRUE,TRUE,Concordant
A_higher,GO_BP,regulation of synapse structure or activity,TRUE,TRUE,Concordant
A_higher,GO_BP,renal absorption,TRUE,TRUE,Concordant
A_higher,GO_BP,renal sodium ion transport,TRUE,TRUE,Concordant
A_higher,GO_BP,renal system development,TRUE,TRUE,Concordant
A_higher,GO_BP,renal system process,TRUE,TRUE,Concordant
A_higher,GO_BP,response to BMP,TRUE,TRUE,Concordant
A_higher,GO_BP,response to activity,FALSE,TRUE,FDR-only
A_higher,GO_BP,response to cadmium ion,TRUE,TRUE,Concordant
A_higher,GO_BP,response to copper ion,TRUE,TRUE,Concordant
A_higher,GO_BP,response to metal ion,TRUE,TRUE,Concordant
A_higher,GO_BP,response to toxic substance,TRUE,TRUE,Concordant
A_higher,GO_BP,response to xenobiotic stimulus,TRUE,TRUE,Concordant
A_higher,GO_BP,response to zinc ion,TRUE,TRUE,Concordant
A_higher,GO_BP,sodium ion import across plasma membrane,TRUE,TRUE,Concordant
A_higher,GO_BP,sodium ion transmembrane transport,TRUE,TRUE,Concordant
A_higher,GO_BP,sodium ion transport,TRUE,TRUE,Concordant
A_higher,GO_BP,stress response to copper ion,TRUE,TRUE,Concordant
A_higher,GO_BP,stress response to metal ion,TRUE,TRUE,Concordant
A_higher,GO_BP,synapse assembly,TRUE,TRUE,Concordant
A_higher,GO_BP,tongue morphogenesis,TRUE,TRUE,Concordant
A_higher,GO_BP,transepithelial transport,TRUE,TRUE,Concordant
A_higher,GO_BP,transport across blood-brain barrier,TRUE,TRUE,Concordant
A_higher,GO_BP,vascular process in circulatory system,TRUE,TRUE,Concordant
A_higher,GO_BP,vascular transport,TRUE,TRUE,Concordant
A_higher,Hallmark,HALLMARK_KRAS_SIGNALING_DN,TRUE,TRUE,Concordant
A_higher,Hallmark,HALLMARK_MYOGENESIS,TRUE,TRUE,Concordant
A_higher,KEGG,Adrenergic signaling in cardiomyocytes,TRUE,TRUE,Concordant
A_higher,KEGG,Gastric acid secretion,TRUE,TRUE,Concordant
A_higher,KEGG,Glutathione metabolism,FALSE,TRUE,FDR-only
A_higher,KEGG,Glycosphingolipid biosynthesis - globo and isoglobo series,TRUE,TRUE,Concordant
A_higher,KEGG,Glycosphingolipid biosynthesis - lacto and neolacto series,FALSE,TRUE,FDR-only
A_higher,KEGG,Hormone signaling,TRUE,TRUE,Concordant
A_higher,KEGG,Mineral absorption,TRUE,TRUE,Concordant
A_higher,KEGG,Neuroactive ligand signaling,TRUE,TRUE,Concordant
A_higher,KEGG,Neuroactive ligand-receptor interaction,TRUE,TRUE,Concordant
A_higher,KEGG,Nitrogen metabolism,TRUE,TRUE,Concordant
A_higher,KEGG,Pancreatic secretion,TRUE,TRUE,Concordant
A_higher,KEGG,Protein digestion and absorption,TRUE,TRUE,Concordant
A_higher,KEGG,Taste transduction,TRUE,TRUE,Concordant
B_higher,GO_BP,B cell activation,TRUE,TRUE,Concordant
B_higher,GO_BP,B cell proliferation,TRUE,TRUE,Concordant
B_higher,GO_BP,"CD4-positive, alpha-beta T cell activation",TRUE,TRUE,Concordant
B_higher,GO_BP,"CD4-positive, alpha-beta T cell differentiation",TRUE,TRUE,Concordant
B_higher,GO_BP,"CD4-positive, alpha-beta T cell differentiation involved in immune response",TRUE,TRUE,Concordant
B_higher,GO_BP,CENP-A containing chromatin assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA damage checkpoint signaling,TRUE,TRUE,Concordant
B_higher,GO_BP,"DNA damage response, signal transduction by p53 class mediator",TRUE,TRUE,Concordant
B_higher,GO_BP,DNA integrity checkpoint signaling,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA recombination,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA replication,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA replication checkpoint signaling,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA replication initiation,TRUE,TRUE,Concordant
B_higher,GO_BP,DNA-templated DNA replication,TRUE,TRUE,Concordant
B_higher,GO_BP,ERK1 and ERK2 cascade,TRUE,TRUE,Concordant
B_higher,GO_BP,G1/S transition of mitotic cell cycle,TRUE,FALSE,Nominal-only
B_higher,GO_BP,G2/M transition of mitotic cell cycle,TRUE,TRUE,Concordant
B_higher,GO_BP,L-amino acid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,L-tryptophan metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell activation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell apoptotic process,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell costimulation,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell differentiation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell mediated immunity,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell migration,TRUE,TRUE,Concordant
B_higher,GO_BP,T cell proliferation,TRUE,TRUE,Concordant
B_higher,GO_BP,T-helper 17 type immune response,TRUE,FALSE,Nominal-only
B_higher,GO_BP,T-helper 2 cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,T-helper cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,activation of innate immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,activation of protein kinase activity,TRUE,TRUE,Concordant
B_higher,GO_BP,actomyosin contractile ring organization,TRUE,TRUE,Concordant
B_higher,GO_BP,acute inflammatory response,TRUE,TRUE,Concordant
B_higher,GO_BP,acute-phase response,TRUE,TRUE,Concordant
B_higher,GO_BP,acylglycerol biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,acylglycerol catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,acylglycerol homeostasis,TRUE,TRUE,Concordant
B_higher,GO_BP,acylglycerol metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,TRUE,TRUE,Concordant
B_higher,GO_BP,alcohol biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,alcohol metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,alpha-amino acid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,alpha-beta T cell activation,TRUE,TRUE,Concordant
B_higher,GO_BP,alpha-beta T cell activation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,alpha-beta T cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,alpha-beta T cell differentiation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,amide transport,TRUE,TRUE,Concordant
B_higher,GO_BP,amino acid import across plasma membrane,TRUE,TRUE,Concordant
B_higher,GO_BP,amino acid metabolic process,TRUE,FALSE,Nominal-only
B_higher,GO_BP,amino acid transmembrane transport,TRUE,TRUE,Concordant
B_higher,GO_BP,amino-acid betaine transport,TRUE,TRUE,Concordant
B_higher,GO_BP,amyloid-beta clearance,TRUE,TRUE,Concordant
B_higher,GO_BP,androgen metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,angiotensin maturation,TRUE,TRUE,Concordant
B_higher,GO_BP,anterior/posterior pattern specification,TRUE,TRUE,Concordant
B_higher,GO_BP,antigen processing and presentation,TRUE,TRUE,Concordant
B_higher,GO_BP,antimicrobial humoral immune response mediated by antimicrobial peptide,TRUE,TRUE,Concordant
B_higher,GO_BP,antimicrobial humoral response,TRUE,TRUE,Concordant
B_higher,GO_BP,antiviral innate immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,apical junction assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,arachidonate secretion,TRUE,TRUE,Concordant
B_higher,GO_BP,arachidonate transport,TRUE,TRUE,Concordant
B_higher,GO_BP,arginine metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,astrocyte activation,TRUE,TRUE,Concordant
B_higher,GO_BP,astrocyte development,TRUE,TRUE,Concordant
B_higher,GO_BP,astrocyte differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,attachment of mitotic spindle microtubules to kinetochore,TRUE,TRUE,Concordant
B_higher,GO_BP,attachment of spindle microtubules to kinetochore,TRUE,TRUE,Concordant
B_higher,GO_BP,bicarbonate transport,TRUE,TRUE,Concordant
B_higher,GO_BP,bicellular tight junction assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,biological process involved in symbiotic interaction,TRUE,FALSE,Nominal-only
B_higher,GO_BP,blood coagulation,TRUE,TRUE,Concordant
B_higher,GO_BP,branching involved in mammary gland duct morphogenesis,TRUE,TRUE,Concordant
B_higher,GO_BP,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,TRUE,TRUE,Concordant
B_higher,GO_BP,calcium-mediated signaling,TRUE,TRUE,Concordant
B_higher,GO_BP,canonical NF-kappaB signal transduction,TRUE,TRUE,Concordant
B_higher,GO_BP,carboxylic acid biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,carboxylic acid catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,carboxylic acid transmembrane transport,TRUE,TRUE,Concordant
B_higher,GO_BP,carboxylic acid transport,TRUE,TRUE,Concordant
B_higher,GO_BP,cell activation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,cell adhesion mediated by integrin,TRUE,TRUE,Concordant
B_higher,GO_BP,cell chemotaxis,TRUE,TRUE,Concordant
B_higher,GO_BP,cell cycle DNA replication,TRUE,TRUE,Concordant
B_higher,GO_BP,cell cycle G1/S phase transition,TRUE,FALSE,Nominal-only
B_higher,GO_BP,cell cycle G2/M phase transition,TRUE,TRUE,Concordant
B_higher,GO_BP,cell cycle checkpoint signaling,TRUE,TRUE,Concordant
B_higher,GO_BP,cell differentiation involved in embryonic placenta development,TRUE,TRUE,Concordant
B_higher,GO_BP,cell killing,TRUE,TRUE,Concordant
B_higher,GO_BP,cell surface pattern recognition receptor signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,cell surface toll-like receptor signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,cell-cell adhesion via plasma-membrane adhesion molecules,TRUE,TRUE,Concordant
B_higher,GO_BP,cell-cell junction assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,cell-cell junction organization,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular extravasation,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to UV-A,TRUE,FALSE,Nominal-only
B_higher,GO_BP,cellular response to abiotic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to antibiotic,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to biotic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to chemokine,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to environmental stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to fatty acid,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to interleukin-1,TRUE,FALSE,Nominal-only
B_higher,GO_BP,cellular response to ionizing radiation,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to lipopolysaccharide,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to molecule of bacterial origin,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to radiation,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to tumor necrosis factor,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to type I interferon,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to type II interferon,TRUE,TRUE,Concordant
B_higher,GO_BP,cellular response to xenobiotic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,centromere complex assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,centrosome separation,TRUE,TRUE,Concordant
B_higher,GO_BP,cerebellar granular layer development,TRUE,TRUE,Concordant
B_higher,GO_BP,chemokine (C-X-C motif) ligand 2 production,FALSE,TRUE,FDR-only
B_higher,GO_BP,chemokine production,TRUE,TRUE,Concordant
B_higher,GO_BP,chemokine-mediated signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,chemotaxis,TRUE,TRUE,Concordant
B_higher,GO_BP,cholesterol homeostasis,TRUE,TRUE,Concordant
B_higher,GO_BP,cholesterol import,TRUE,TRUE,Concordant
B_higher,GO_BP,cholesterol metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,cholesterol transport,TRUE,TRUE,Concordant
B_higher,GO_BP,chromatin remodeling at centromere,TRUE,TRUE,Concordant
B_higher,GO_BP,chromosome localization,TRUE,TRUE,Concordant
B_higher,GO_BP,chromosome segregation,TRUE,TRUE,Concordant
B_higher,GO_BP,chromosome separation,TRUE,TRUE,Concordant
B_higher,GO_BP,chronic inflammatory response,TRUE,TRUE,Concordant
B_higher,GO_BP,coagulation,TRUE,TRUE,Concordant
B_higher,GO_BP,collagen catabolic process,TRUE,FALSE,Nominal-only
B_higher,GO_BP,cortical actin cytoskeleton organization,TRUE,TRUE,Concordant
B_higher,GO_BP,cortical cytoskeleton organization,TRUE,TRUE,Concordant
B_higher,GO_BP,cytokine production involved in inflammatory response,TRUE,TRUE,Concordant
B_higher,GO_BP,cytokinesis,TRUE,TRUE,Concordant
B_higher,GO_BP,cytoskeleton-dependent cytokinesis,TRUE,TRUE,Concordant
B_higher,GO_BP,defense response to Gram-positive bacterium,TRUE,TRUE,Concordant
B_higher,GO_BP,defense response to bacterium,TRUE,TRUE,Concordant
B_higher,GO_BP,defense response to virus,TRUE,TRUE,Concordant
B_higher,GO_BP,dendritic cell antigen processing and presentation,TRUE,TRUE,Concordant
B_higher,GO_BP,dendritic cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,detection of biotic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,detection of external biotic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,detection of molecule of bacterial origin,TRUE,TRUE,Concordant
B_higher,GO_BP,dicarboxylic acid biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,digestion,TRUE,TRUE,Concordant
B_higher,GO_BP,digestive system process,TRUE,TRUE,Concordant
B_higher,GO_BP,disruption of anatomical structure in another organism,TRUE,TRUE,Concordant
B_higher,GO_BP,disruption of cell in another organism,TRUE,TRUE,Concordant
B_higher,GO_BP,diterpenoid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,double-strand break repair,FALSE,TRUE,FDR-only
B_higher,GO_BP,double-strand break repair via break-induced replication,TRUE,TRUE,Concordant
B_higher,GO_BP,double-strand break repair via homologous recombination,TRUE,TRUE,Concordant
B_higher,GO_BP,embryonic forelimb morphogenesis,TRUE,TRUE,Concordant
B_higher,GO_BP,embryonic placenta development,TRUE,TRUE,Concordant
B_higher,GO_BP,embryonic skeletal system development,TRUE,TRUE,Concordant
B_higher,GO_BP,embryonic skeletal system morphogenesis,TRUE,TRUE,Concordant
B_higher,GO_BP,endocrine process,TRUE,TRUE,Concordant
B_higher,GO_BP,eosinophil chemotaxis,TRUE,TRUE,Concordant
B_higher,GO_BP,eosinophil migration,TRUE,TRUE,Concordant
B_higher,GO_BP,epidermal cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,epidermal growth factor receptor signaling pathway,TRUE,FALSE,Nominal-only
B_higher,GO_BP,epidermis development,TRUE,TRUE,Concordant
B_higher,GO_BP,epithelial cell proliferation,TRUE,TRUE,Concordant
B_higher,GO_BP,epithelial structure maintenance,TRUE,TRUE,Concordant
B_higher,GO_BP,erythrocyte differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,erythrocyte homeostasis,TRUE,TRUE,Concordant
B_higher,GO_BP,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,establishment of protein localization to extracellular region,TRUE,TRUE,Concordant
B_higher,GO_BP,establishment of skin barrier,TRUE,TRUE,Concordant
B_higher,GO_BP,establishment of spindle localization,TRUE,TRUE,Concordant
B_higher,GO_BP,extracellular matrix disassembly,TRUE,TRUE,Concordant
B_higher,GO_BP,fat-soluble vitamin biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,fat-soluble vitamin catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,fatty acid derivative catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,fatty acid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,fatty acid transport,TRUE,TRUE,Concordant
B_higher,GO_BP,female meiosis I,TRUE,TRUE,Concordant
B_higher,GO_BP,female meiotic nuclear division,TRUE,TRUE,Concordant
B_higher,GO_BP,female pregnancy,TRUE,FALSE,Nominal-only
B_higher,GO_BP,foam cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,gland development,TRUE,TRUE,Concordant
B_higher,GO_BP,gland morphogenesis,TRUE,TRUE,Concordant
B_higher,GO_BP,glial cell activation,TRUE,TRUE,Concordant
B_higher,GO_BP,glial cell development,TRUE,TRUE,Concordant
B_higher,GO_BP,glial cell differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,gliogenesis,TRUE,TRUE,Concordant
B_higher,GO_BP,glutamine family amino acid biosynthetic process,TRUE,TRUE,Concordant
B_higher,GO_BP,glutamine family amino acid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,glycerol metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,glycerolipid catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,glycerolipid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,glycerophospholipid catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,granulocyte activation,TRUE,TRUE,Concordant
B_higher,GO_BP,granulocyte chemotaxis,TRUE,TRUE,Concordant
B_higher,GO_BP,granulocyte migration,TRUE,TRUE,Concordant
B_higher,GO_BP,hair cycle,TRUE,TRUE,Concordant
B_higher,GO_BP,hair cycle process,TRUE,TRUE,Concordant
B_higher,GO_BP,hair follicle development,TRUE,TRUE,Concordant
B_higher,GO_BP,hemostasis,TRUE,TRUE,Concordant
B_higher,GO_BP,hepaticobiliary system development,TRUE,TRUE,Concordant
B_higher,GO_BP,hepatocyte differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,high-density lipoprotein particle clearance,TRUE,TRUE,Concordant
B_higher,GO_BP,high-density lipoprotein particle remodeling,FALSE,TRUE,FDR-only
B_higher,GO_BP,homeostasis of number of cells,TRUE,TRUE,Concordant
B_higher,GO_BP,homologous recombination,TRUE,TRUE,Concordant
B_higher,GO_BP,homotypic cell-cell adhesion,TRUE,TRUE,Concordant
B_higher,GO_BP,hormone metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,hormone secretion,TRUE,TRUE,Concordant
B_higher,GO_BP,hormone transport,TRUE,TRUE,Concordant
B_higher,GO_BP,host-mediated modulation of intestinal microbiota composition,TRUE,TRUE,Concordant
B_higher,GO_BP,humoral immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,icosanoid catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,icosanoid metabolic process,TRUE,FALSE,Nominal-only
B_higher,GO_BP,icosanoid secretion,TRUE,TRUE,Concordant
B_higher,GO_BP,icosanoid transport,TRUE,TRUE,Concordant
B_higher,GO_BP,immune response-activating cell surface receptor signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,immune response-regulating cell surface receptor signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,immune system development,TRUE,TRUE,Concordant
B_higher,GO_BP,in utero embryonic development,TRUE,TRUE,Concordant
B_higher,GO_BP,indole-containing compound metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,inflammatory response to antigenic stimulus,TRUE,TRUE,Concordant
B_higher,GO_BP,innate immune response activating cell surface receptor signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,innate immune response-activating signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,inner cell mass cell proliferation,TRUE,TRUE,Concordant
B_higher,GO_BP,inorganic anion transport,TRUE,TRUE,Concordant
B_higher,GO_BP,insulin secretion,TRUE,TRUE,Concordant
B_higher,GO_BP,integrin activation,TRUE,TRUE,Concordant
B_higher,GO_BP,integrin-mediated signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,interferon-mediated signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,interleukin-1 beta production,TRUE,TRUE,Concordant
B_higher,GO_BP,interleukin-1 production,TRUE,TRUE,Concordant
B_higher,GO_BP,interleukin-10 production,TRUE,FALSE,Nominal-only
B_higher,GO_BP,interleukin-4-mediated signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,interleukin-6 production,TRUE,TRUE,Concordant
B_higher,GO_BP,interleukin-8 production,TRUE,TRUE,Concordant
B_higher,GO_BP,intermediate filament cytoskeleton organization,TRUE,TRUE,Concordant
B_higher,GO_BP,intermediate filament organization,TRUE,TRUE,Concordant
B_higher,GO_BP,intermediate filament-based process,TRUE,TRUE,Concordant
B_higher,GO_BP,intestinal absorption,TRUE,TRUE,Concordant
B_higher,GO_BP,intestinal cholesterol absorption,TRUE,TRUE,Concordant
B_higher,GO_BP,intestinal lipid absorption,TRUE,TRUE,Concordant
B_higher,GO_BP,intrinsic apoptotic signaling pathway,TRUE,TRUE,Concordant
B_higher,GO_BP,intrinsic apoptotic signaling pathway in response to DNA damage,TRUE,TRUE,Concordant
B_higher,GO_BP,isoprenoid metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,keratinocyte development,TRUE,TRUE,Concordant
B_higher,GO_BP,keratinocyte differentiation,TRUE,TRUE,Concordant
B_higher,GO_BP,keratinocyte proliferation,TRUE,TRUE,Concordant
B_higher,GO_BP,ketone catabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,ketone metabolic process,TRUE,TRUE,Concordant
B_higher,GO_BP,killing of cells of another organism,TRUE,TRUE,Concordant
B_higher,GO_BP,kinetochore assembly,TRUE,TRUE,Concordant
B_higher,GO_BP,kinetochore organization,TRUE,TRUE,Concordant
B_higher,GO_BP,leukocyte activation involved in immune response,TRUE,TRUE,Concordant
B_higher,GO_BP,leukocyte activation involved in inflammatory response,TRUE,TRUE,Concordant
B_higher,GO_BP,leukocyte cell-cell adhesion,TRUE,TRUE,Concordant
B_higher,GO_BP,leukocyte chemotaxis,TRUE,TRUE,Concordant
